"Session ID","Start Time","End Time","Command","Input Tokens","Output Tokens","Input Cost ($)","Output Cost ($)","Total Cost ($)","Call Count"
"20250226_124727","2025-02-26 12:47:27","2025-02-26 12:47:30","tests/test_replicate_streaming.py","278","167","0.000014","0.000042","0.000056","1"
"20250226_124724","2025-02-26 12:47:24","2025-02-26 12:47:30","tests/test_replicate_streaming.py","97","242","0.000005","0.000061","0.000065","1"
"20250226_125040","2025-02-26 12:50:40","2025-02-26 12:50:40","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","0","0","0","0","0","0"
"20250226_130946","2025-02-26 13:09:46","2025-02-26 13:10:31","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","4463","3166","0.000223","0.000791","0.001015","9"
"20250226_135652","2025-02-26 13:56:52","2025-02-26 13:56:53","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","0","0","0","0","0","0"
"20250226_135755","2025-02-26 13:57:55","2025-02-26 13:58:10","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","851","1058","0.000043","0.000264","0.000307","2"
"20250226_135936","2025-02-26 13:59:36","2025-02-26 14:00:21","tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml","5267","3091","0.000263","0.000773","0.001036","13"20250226_142445,2025-02-26 14:24:45,2025-02-26 14:28:27,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,27934,10113,0.001397,0.002528,0.003925,59
20250226_144207,2025-02-26 14:42:07,2025-02-26 14:42:10,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,222,116,0.000011,0.000029,0.000040,3
20250226_144704,2025-02-26 14:47:04,2025-02-26 14:47:08,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,222,148,0.000011,0.000037,0.000048,3
20250226_145440,2025-02-26 14:54:40,2025-02-26 14:54:46,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,2017,422,0.000101,0.000106,0.000206,4
20250226_150046,2025-02-26 15:00:46,2025-02-26 15:00:46,/Users/zbodnar/Stories/brain_dump/zettelkasten/tests/test_chunking.py tests/data/sample_transcript.txt --config config/chunking/replicate_llama3_8b.yaml,0,0,0.000000,0.000000,0.000000,0
20250226_150056,2025-02-26 15:00:56,2025-02-26 15:00:56,/Users/zbodnar/Stories/brain_dump/zettelkasten/tests/test_chunking.py tests/data/sample_transcript.txt --config config/chunking/replicate_llama3_8b.yaml,0,0,0.000000,0.000000,0.000000,0
20250226_150510,2025-02-26 15:05:10,2025-02-26 15:05:14,/Users/zbodnar/Stories/brain_dump/zettelkasten/tests/test_chunking.py tests/data/sample_transcript.txt --config config/chunking/replicate_llama3_8b.yaml,0,0,0.000000,0.000000,0.000000,0
20250227_132048,2025-02-27 13:20:48,2025-02-27 13:20:56,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,0,0,0.000000,0.000000,0.000000,0
20250227_132329,2025-02-27 13:23:29,2025-02-27 13:23:37,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,0,0,0.000000,0.000000,0.000000,0
20250227_132612,2025-02-27 13:26:12,2025-02-27 13:26:21,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,0,0,0.000000,0.000000,0.000000,0
20250227_132845,2025-02-27 13:28:45,2025-02-27 13:29:18,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,4825,2433,0.000241,0.000608,0.000849,5
20250227_133201,2025-02-27 13:32:01,2025-02-27 13:32:43,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,5228,2927,0.000261,0.000732,0.000993,6
20250227_133356,2025-02-27 13:33:56,2025-02-27 13:34:45,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,10819,3160,0.000541,0.000790,0.001331,31
20250227_134938,2025-02-27 13:49:38,2025-02-27 13:49:38,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,0,0,0.000000,0.000000,0.000000,0
20250227_135326,2025-02-27 13:53:26,2025-02-27 13:53:26,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,0,0,0.000000,0.000000,0.000000,0
20250227_135802,2025-02-27 13:58:02,2025-02-27 13:58:58,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,6651,3978,0.000333,0.000994,0.001327,10
20250227_135943,2025-02-27 13:59:43,2025-02-27 14:00:15,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,4277,2028,0.000214,0.000507,0.000721,4
20250227_140310,2025-02-27 14:03:10,2025-02-27 14:03:48,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,4248,2705,0.000212,0.000676,0.000889,4
20250227_141026,2025-02-27 14:10:26,2025-02-27 14:12:53,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,34864,8896,0.001743,0.002224,0.003967,111
20250227_142832,2025-02-27 14:28:32,2025-02-27 14:31:23,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,30102,7759,0.001505,0.001940,0.003445,96
20250227_145125,2025-02-27 14:51:25,2025-02-27 14:53:57,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,36727,9319,0.001836,0.002330,0.004166,119
20250227_160844,2025-02-27 16:08:44,2025-02-27 16:09:25,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,5804,2254,0.000290,0.000563,0.000854,13
20250227_162857,2025-02-27 16:28:57,2025-02-27 16:31:04,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,26096,6890,0.001305,0.001723,0.003027,83
20250227_165020,2025-02-27 16:50:20,2025-02-27 16:52:33,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,31477,8050,0.001574,0.002012,0.003586,99
20250227_220336,2025-02-27 22:03:36,2025-02-27 22:04:37,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,14983,3717,0.000749,0.000929,0.001678,42
20250227_221931,2025-02-27 22:19:31,2025-02-27 22:19:46,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,1819,1043,0.000091,0.000261,0.000352,2
20250227_223012,2025-02-27 22:30:12,2025-02-27 22:30:30,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,1819,1048,0.000091,0.000262,0.000353,2
20250227_223054,2025-02-27 22:30:54,2025-02-27 22:33:28,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,35300,8115,0.001765,0.002029,0.003794,114
20250227_223528,2025-02-27 22:35:28,2025-02-27 22:37:27,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,28059,6746,0.001403,0.001687,0.003089,90
20250227_224221,2025-02-27 22:42:21,2025-02-27 22:44:27,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,29081,6871,0.001454,0.001718,0.003172,93
20250227_224748,2025-02-27 22:47:48,2025-02-27 22:50:10,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,35918,8249,0.001796,0.002062,0.003858,117
20250228_155151,2025-02-28 15:51:51,2025-02-28 15:53:12,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,20376,5179,0.001019,0.001295,0.002314,63
20250228_155847,2025-02-28 15:58:47,2025-02-28 15:59:21,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,6591,2328,0.000330,0.000582,0.000912,16
20250228_163653,2025-02-28 16:36:53,2025-02-28 16:37:26,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,6513,1922,0.000326,0.000481,0.000806,15
20250228_164055,2025-02-28 16:40:55,2025-02-28 16:41:35,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,7117,2360,0.000356,0.000590,0.000946,17
20250228_164646,2025-02-28 16:46:46,2025-02-28 16:47:16,tests/test_chunking_v2.py output/JCS/deepgram_nova-3/transcripts/JCS_transcript_short.txt --config config/chunking/replicate_llama3_8b.yaml,6827,2145,0.000341,0.000536,0.000878,16
